Variable,Phenotype,N,Median,IQR,Mean,SD
ISV,0,592,44.0,[30.00-61.25],48.84,25.79
ISV,1,756,18.5,[14.00-27.00],26.42,23.37
ISV,2,1543,26.0,[19.00-34.00],28.18,13.99
ISV,3,642,84.0,[63.00-108.00],87.32,32.46
IVA,0,592,0.43,[0.24-0.68],0.51,0.34
IVA,1,756,0.15,[0.11-0.24],0.23,0.23
IVA,2,1543,0.14,[0.10-0.20],0.17,0.12
IVA,3,642,0.77,[0.53-1.06],0.82,0.39
KI,0,592,1.1,[1.05-1.16],1.12,0.09
KI,1,756,1.01,[0.99-1.03],1.01,0.05
KI,2,1543,1.01,[1.00-1.02],1.01,0.03
KI,3,642,1.2,[1.14-1.28],1.22,0.11
CKI,0,592,1.01,[1.00-1.02],1.01,0.02
CKI,1,756,1.0,[0.99-1.00],1.0,0.01
CKI,2,1543,1.01,[1.00-1.01],1.01,0.01
CKI,3,642,1.07,[1.05-1.10],1.08,0.05
IHA,0,592,16.35,[8.07-31.62],22.67,19.85
IHA,1,756,5.25,[2.40-9.40],7.92,9.66
IHA,2,1543,6.2,[2.60-11.30],8.19,8.1
IHA,3,642,28.35,[13.72-45.88],31.94,23.15
IHD,0,592,0.05,[0.02-0.08],0.06,0.04
IHD,1,756,0.01,[0.01-0.02],0.02,0.03
IHD,2,1543,0.01,[0.01-0.02],0.02,0.01
IHD,3,642,0.11,[0.07-0.15],0.11,0.06
BAD D,0,592,4.25,[2.65-5.86],4.41,2.39
BAD D,1,756,1.52,[0.98-2.27],2.04,2.2
BAD D,2,1543,1.46,[0.99-2.05],1.6,1.06
BAD D,3,642,9.34,[7.07-12.29],9.98,3.96
Kmax,0,592,48.51,[46.41-51.04],48.92,3.66
Kmax,1,756,45.38,[44.10-47.02],46.17,3.68
Kmax,2,1543,45.75,[44.34-47.14],45.91,2.48
Kmax,3,642,56.32,[52.80-61.01],57.31,6.32
CCT,0,592,487.0,[459.00-515.00],489.07,45.33
CCT,1,756,536.0,[510.00-562.00],533.76,48.91
CCT,2,1543,534.0,[510.00-560.00],534.76,39.71
CCT,3,642,441.5,[411.00-466.00],438.83,44.21
