Variable,Phenotype,N,Median,IQR,Mean,SD
ISV,0,879,23.0,[17.00-34.00],28.97,20.24
ISV,1,620,83.0,[61.00-108.00],86.53,32.74
ISV,2,1562,24.0,[17.00-33.00],27.0,15.62
ISV,3,472,51.0,[38.00-72.00],57.51,27.63
IVA,0,879,0.15,[0.11-0.22],0.21,0.19
IVA,1,620,0.76,[0.51-1.03],0.81,0.38
IVA,2,1562,0.15,[0.10-0.21],0.18,0.14
IVA,3,472,0.56,[0.37-0.85],0.64,0.37
KI,0,879,1.03,[1.02-1.05],1.04,0.04
KI,1,620,1.2,[1.13-1.28],1.21,0.11
KI,2,1562,1.0,[0.99-1.02],1.0,0.03
KI,3,472,1.12,[1.08-1.19],1.14,0.09
CKI,0,879,1.0,[1.00-1.01],1.0,0.01
CKI,1,620,1.07,[1.05-1.11],1.08,0.05
CKI,2,1562,1.0,[1.00-1.01],1.0,0.01
CKI,3,472,1.02,[1.01-1.03],1.02,0.02
IHA,0,879,6.0,[2.60-10.80],8.37,9.52
IHA,1,620,27.4,[13.93-45.60],31.5,22.84
IHA,2,1562,6.0,[2.52-11.60],8.34,8.48
IHA,3,472,22.1,[9.78-38.52],26.76,21.6
IHD,0,879,0.01,[0.01-0.02],0.02,0.02
IHD,1,620,0.11,[0.06-0.15],0.11,0.06
IHD,2,1562,0.01,[0.01-0.02],0.02,0.02
IHD,3,472,0.06,[0.04-0.10],0.07,0.05
BAD D,0,879,1.69,[1.10-2.40],2.0,1.7
BAD D,1,620,9.3,[6.98-12.29],9.92,4.09
BAD D,2,1562,1.42,[0.96-1.99],1.65,1.45
BAD D,3,472,5.08,[3.87-6.64],5.39,2.44
Kmax,0,879,45.75,[44.31-47.22],46.16,3.18
Kmax,1,620,56.23,[52.66-61.05],57.25,6.47
Kmax,2,1562,45.61,[44.24-47.14],45.96,2.78
Kmax,3,472,49.66,[47.52-52.29],50.11,3.89
CCT,0,879,529.0,[503.00-557.00],527.67,43.8
CCT,1,620,441.5,[411.00-466.25],439.85,46.86
CCT,2,1562,537.0,[512.00-561.00],536.12,42.63
CCT,3,472,477.5,[453.00-501.00],478.74,42.63
